token_address,token_symbol,launch_date,peak_date,max_multiple,wallet_address,wallet_first_buy_ts,wallet_position_pct_at_peak,is_bundled,bundle_id
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,76PyurLzaeZvvwkp8sJFTkTpnyW17924NVcRBqiRkJ9c,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,HNNvjDt1XUacTA38KS1h6zRdQwp77vYWZJbxiZ7xNXRh,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,FFYGziq3ptn4pJry4TdKjCwkGfwau4Uz9zxL5VWwzzeP,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,c1L8Cjp4uXpcE77QaQd6QoWbzatHf2LHy1bLJp9x3jS,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,CLtjpvsFnNaVVvDCujDxEE2KYKdQfVGrCjUpHCiqEJLE,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,BJXHnqgdTSiv6whJ3NbtZekmcit3e99idQe1Zpra3DzV,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,H3rHkvMGCqLHE89pGueEJZAXBDCUfd2Ym4XX2DvfsBVC,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,ErJ2XD82iE5GGEGhUjCe9QgUmcaxAPSvFz9ne9XEumTQ,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,2XmeQfLU5uk5c1GPVqBtvyg6DSf8dUxiMrVBmmdLQ1X1,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,BvGHPZgp4JZYUKqx3jJJ1qnKWf5ruyuniJRZ8cwpMVZ6,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,4dQs9v9vneeUjfBarqwv2xReEa7TWNJmDqRtBegmHq7g,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,DnB5v5ut4xdJmEq1AFuWoxScZiCPyspUVsSNLYJgtVjx,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,GUrqVdU4w9R2yMXJcRAaYYhrSd2bjR9gKt8qhmENifE3,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,5WBypZKGJXrbmJKhgdUobj66JHnjgo8gebnUJpZnqxXk,NULL,NULL,NULL,NULL
J1Wpmugrooj1yMyQKrdZ2vwRXG5rhfx3vTnYE39gpump,WOULD,2024-07-23,2025-04-02,492,9Mc2VzpvifnnxS5WhugJfvsJmZgR5CnMjXkZm77LNqvq,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,51ig4tkZD1kCcnXLRuFre1nxyJg83aFTfQb5UGLPwMHy,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,AgYNk2hnMnSjbt5KZdEoapmxT3Jbuw79yiwgG43WAaHU,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,FZ6F6soJw7TtStfmHWrHghSR583USAuZrSRimsDiH3Dk,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,9sCzS4uQdLW992Ct266NcaEM5jvA2eXA9faitF8eVSQh,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,frostx.sol,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,28RWPC6XPxSxUVjd27KiNRtcHVxKtd6cjms7eBcxiqdV,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,dM7Gffpk78enWQww81c93rCUPn4zziqyvV5NcFJbJa6,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,4RxoAPLxeWyoW1KEiGCe14Pb1DxgKMVvm8PRFhgWeEdH,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,9HLb8fGKGMkBQdU41tjKnpa5ZRFscS4ZMoqFxzC4i4KE,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,DE5qJfYPjtUbJaes8iK8TjCx3j4V68GGV6P3hHb7DkkE,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,4hwPamSooBr5JhxHdcEC21HoxN5HUwYR2hGucLPyZAi8,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,2wGvJFgAXYghGT1ZySYZHxEppJX8jY9RpH4qGD6dvj4f,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,FMZgtHeggiiW7FEuXaB9csNiR8rNc1kcLd5fjfHgffyW,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,GYvSw1P92dzjJYwENWzckz1x15FLuXSGsSjJvBW4DePF,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,5KqV2amZ4Agt9U7wCwbgZV1uwdC4QFh3sf6ZAw2Rcyey,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,G23RB28wwx86rwZsTjdGesfbz8tPgwgwQF67k6UPXsjD,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,BWg7T2hD4FB4yQ9B3V2KfCxQHsuZc2byjMBrUUnSMB1A,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,3brgkW2snQLFKsn22RjmuJVL98g71UwAwGKD6Uiky9yP,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,5xv4taLVd1e12QrPgi6L9f8nT83JKKj3EwumHWxeH12L,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,3FmDjqwKSCyQyRZZNJvNKbxT5uZrD6VwbpfYrgLw38pv,NULL,NULL,NULL,NULL
